CustomerID,FirstName,LastName,Age,Email,PhoneNumber,PurchaseAmount
1,Anna,Williams,40.0,user90@example.com,987-654-3210,4680.0
2,Tom,Brown,45.0,user42@example.com,123-456-7890,1319.0
3,Jane,Jones,43.0,user39@example.com,987-654-3210,7393.0
4,John,Brown,35.0,user66@example.com,987-654-3210,1152.0
5,Anna,Johnson,62.0,user89@example.com,987-654-3210,3893.0
6,John,Williams,45.0,user77@example.com,123-456-7890,9389.0
7,Lisa,Smith,26.0,user28@example.com,555-555-5555,5122.0
8,Jane,Williams,46.0,user27@example.com,987-654-3210,6818.0
9,Anna,Brown,36.0,user62@example.com,987-654-3210,7692.0
10,Tom,Johnson,56.0,user96@example.com,123-456-7890,2695.0
11,John,Brown,57.0,user11@example.com,987-654-3210,7249.0
12,John,Johnson,27.0,user31@example.com,123-456-7890,4762.0
13,John,Johnson,31.0,user44@example.com,123-456-7890,7164.0
14,Jane,Johnson,21.0,user86@example.com,555-555-5555,2354.0
15,Lisa,Smith,36.0,user92@example.com,987-654-3210,634.0
16,Tom,Johnson,34.0,user47@example.com,987-654-3210,2085.0
17,Lisa,Jones,33.0,user79@example.com,123-456-7890,2253.0
18,Anna,Smith,26.0,user27@example.com,555-555-5555,5375.0
19,Anna,Williams,53.0,user98@example.com,555-555-5555,9338.0
20,Anna,Williams,33.0,user56@example.com,123-456-7890,2064.0
21,Lisa,Jones,36.0,user1@example.com,987-654-3210,1408.0
22,Mike,Jones,53.0,user3@example.com,123-456-7890,3098.0
23,Jane,Jones,20.0,user68@example.com,555-555-5555,1934.0
24,John,Brown,28.0,user59@example.com,123-456-7890,6146.0
25,Jane,Brown,49.0,user6@example.com,987-654-3210,9809.0
26,Mike,Smith,44.0,user59@example.com,987-654-3210,174.0
27,Lisa,Jones,54.0,user29@example.com,555-555-5555,8434.0
28,Lisa,Williams,53.0,user52@example.com,555-555-5555,8938.0
29,John,Smith,48.0,user94@example.com,123-456-7890,1076.0
30,Tom,Johnson,28.0,user44@example.com,123-456-7890,5725.0
31,Mike,Johnson,55.0,user29@example.com,555-555-5555,9332.0
32,Anna,Jones,19.0,user8@example.com,123-456-7890,4440.0
33,Mike,Williams,43.0,user10@example.com,123-456-7890,743.0
34,Anna,Jones,28.0,user96@example.com,123-456-7890,6716.0
35,John,Williams,33.0,user22@example.com,123-456-7890,2655.0
36,Tom,Smith,25.0,user30@example.com,987-654-3210,1102.0
37,John,Johnson,34.0,user6@example.com,123-456-7890,3199.0
38,Jane,Brown,18.0,user99@example.com,555-555-5555,3902.0
39,Anna,Johnson,42.0,user51@example.com,987-654-3210,8991.0
